ElapsedTime_s,Distance,Si29_CPS,Mg_ppm_m25,Al_ppm_m27,Sc_ppm_m45,Ti_ppm_m47,Fe_ppm_m57,Re_ppm_m185,Pt_ppm_m195
120.061,133.401,44502.92,315139.8,107.1755,1.587296,1.335084,88.06,0.01199882,-0.008250427
123.396,130.066,47854.29,280636.2,98.56448,1.461369,1.212889,88.26309,0.01114051,0.008983107
126.731,126.731,46144.36,291166.3,108.0727,1.572793,1.346789,92.92673,0.0086207,0.01727735
130.066,123.396,45341.68,303547.9,104.9124,1.513136,1.325244,92.77441,0.03099539,0.005383627
133.401,120.061,43352.38,306097.8,110.9945,1.619116,1.433351,104.2727,0.01068708,0.007026938
136.736,116.726,48391.62,284012.7,99.71851,1.437735,1.071784,98.47083,0.006778037,0.008813857
140.071,113.391,46840.38,293628.1,104.5107,1.509764,1.238754,97.69627,0.01990067,0.007777941
143.406,110.056,42092.42,313773.8,114.2996,1.525154,1.654898,102.2342,0.04128858,0.01155044
146.741,106.721,45006.64,310038.5,106.8893,1.369621,1.441174,105.4646,0.01917914,0.01487297
150.076,103.386,47841.55,284380.8,103.0819,1.374963,1.269839,100.5586,0.528051,0.007562694
153.411,100.051,46246.64,303719.6,106.2646,1.487117,1.032308,107.8596,0.0171738,0.01178449
156.746,96.716,47971.47,309188.9,107.407,1.576814,1.794217,107.3345,0.04736241,0.003671549
160.081,93.381,47132.05,313024.3,108.2375,1.558151,1.550134,104.6554,0.02251833,0.002418136
163.416,90.046,44478.67,315150.2,108.3667,1.565925,1.473234,126.5195,0.04499637,0.01633225
166.751,86.711,43845.1,328380,110.1942,1.700983,1.60371,117.802,0.01956797,0.01515
170.086,83.376,46139.91,312823.1,106.2838,1.52665,1.44969,119.6948,0.002553961,0.01171991
173.421,80.041,46968.32,295188.5,105.8629,1.584046,1.598899,125.0046,0.05686125,0.01541169
176.756,76.706,46327.58,318840.7,108.128,1.41208,1.31069,119.3489,0.06488034,0.01031237
180.091,73.371,45918.13,289120.7,104.5382,1.430395,1.307391,125.7418,0.4430183,0.01572678
183.426,70.036,45682.6,282735.4,108.0592,1.472439,1.433894,126.7995,0.1525401,0.01310506
186.761,66.701,41069.12,331913.8,113.5089,1.496367,1.278281,132.4474,0.02567164,0.02500523
190.096,63.366,44450.02,299434.4,106.343,1.554781,1.473479,137.8808,0.06451309,0.01480924
193.431,60.031,46153.36,300458.5,105.464,1.504993,1.507972,129.486,0.02426142,0.04877435
196.766,56.696,43742.55,300267.3,108.742,1.632155,2.138489,150.8396,0.01329065,0.05003955
200.101,53.361,44452.92,312775.7,113.4526,1.651574,1.34998,147.2509,0.07804811,0.003720877
203.436,50.026,45369.59,305094.9,102.7576,1.530891,1.609158,137.3779,0.07941171,0.01713533
206.771,46.691,46881.97,326507.6,105.638,1.539657,1.67391,137.3097,0.01951032,0.01002855
210.106,43.356,47646.53,302377.2,103.5666,1.420747,1.61824,137.794,0.01917891,0.03428533
213.441,40.021,45435.97,300585.7,109.3939,1.505324,1.350557,140.9391,0.02157127,0.02379623
216.776,36.686,45187.27,306672.8,109.4633,1.56418,1.766678,149.5488,0.03059008,0.01848412
220.111,33.351,45227.21,319970.2,114.0285,1.689169,1.628888,151.5223,0.01420604,0.02793103
223.446,30.016,46997.97,304472.2,124.4467,1.505719,1.771202,157.1064,0.03651977,0.009914151
226.781,26.681,42212.36,329584,123.0229,1.645138,2.069126,171.4321,0.03427393,0.01972532
230.116,23.346,46607.43,294065,94.07944,1.454127,1.257499,156.254,0.01805295,0.02836079
233.451,20.011,44620.42,307942.6,99.23524,1.605542,1.880603,178.0884,0.0414156,0.01724932
236.787,16.675,44943.27,298455.6,103.5674,1.560719,1.714805,175.1978,0.02764876,0.008929658
240.122,13.34,46446.46,287725.2,88.32895,1.56697,1.939003,175.2264,0.02962679,0.0218084
243.457,10.005,43646.9,333678.8,110.7844,1.613043,2.611706,177.0826,0.04843175,0.03020249
246.792,6.66999999999999,46214.27,311788.2,111.6255,1.489165,3.117641,175.1414,0.1052992,0.0165799
250.127,3.33499999999998,47371.72,292774.1,140.973,1.580777,3.763162,172.103,0.1962645,0.01744922
253.462,0,48022.06,299486.7,174.6404,1.546519,6.275506,183.519,0.6061015,0.0108199
