ElapsedTime_s,Distance,Si29_CPS,Mg_ppm_m25,Al_ppm_m27,Sc_ppm_m45,Ti_ppm_m47,Fe_ppm_m57,Re_ppm_m185,Pt_ppm_m195
33.351,220.111,48877.4,290310.2,105.4931,1.530969,1.035262,46.65145,0.04166993,0.01806349
36.686,216.776,46019.54,279449.4,105.4468,1.53199,1.233511,49.67847,0.05301074,0.02584462
40.021,213.441,46147.04,306501.8,105.6581,1.464601,1.244877,52.71135,0.02805778,0.01509904
43.356,210.106,46915.33,345975.1,101.2198,1.547846,1.326663,48.63526,0.03044772,0.003043612
46.691,206.771,45412.91,295477.3,105.1966,1.653435,1.325202,62.97663,0.04476917,0.01395214
50.026,203.436,48186.29,288843.8,99.97886,1.430009,1.007098,52.55499,0.03798505,0.002929096
53.361,200.101,47148.98,285637.7,103.1534,1.474542,1.000119,55.07496,0.02167904,0.005582587
56.695,196.767,44948.26,303247.4,105.3897,1.521184,1.552075,62.72929,0.04217814,-0.0009975896
60.031,193.431,44715,324316.2,106.68,1.58434,1.023766,60.5001,0.01680207,0.01409358
63.366,190.096,45111.33,308371.2,106.2498,1.566475,1.546288,72.66483,1.178343,0.003055636
66.701,186.761,48186.98,278955.5,100.9593,1.473782,1.234234,58.01512,0.02393135,0.0002936907
70.036,183.426,47628.18,313201.7,101.3237,1.424362,1.119176,61.38495,0.02984294,0.008018689
73.371,180.091,47788.05,279964.4,99.71522,1.646648,1.273056,65.04198,0.05083785,0.004118131
76.706,176.756,47619.65,276649.6,101.5414,1.513469,1.191162,66.77512,0.0312235,0.0002457136
80.041,173.421,47175.18,272846.4,98.99693,1.531451,1.086138,66.41048,0.04575635,0.01064625
83.376,170.086,43787.3,304244.5,108.099,1.764708,1.263962,70.72775,0.03698763,0.01004806
86.711,166.751,46488.92,318911.6,104.714,1.635555,0.8515327,69.56841,1.271832,0.001519987
90.046,163.416,46201.55,308183.8,104.0253,1.492979,1.331195,72.77313,0.04375017,0.02277802
93.381,160.081,43446.93,320582.9,117.6061,1.650517,1.336681,79.99937,0.01709279,0.01430866
96.716,156.746,45261.91,297472.5,109.8335,1.512222,1.373797,79.41968,0.0416468,0.01507264
100.051,153.411,44495.89,310936.6,111.4262,1.496616,0.9355802,77.60384,0.02269618,0.01393303
103.386,150.076,44804.9,281969.9,104.0678,1.474461,1.051348,81.39116,0.0480348,0.03300152
106.721,146.741,47063.38,292874.8,103.6683,1.4299,1.248211,73.85619,0.06999989,0.01183229
110.056,143.406,46317.33,297029.3,99.02556,1.53283,0.9429455,85.99471,0.08126933,0.01598062
113.391,140.071,45053.73,299192.3,106.678,1.624711,1.242925,86.79943,0.01338279,0.008235061
116.726,136.736,46930.9,302400.8,101.913,1.480798,1.207725,77.55282,0.03861767,0.01181145
