ElapsedTime_s,Distance,Si29_CPS,Mg_ppm_m25,Al_ppm_m27,Sc_ppm_m45,Ti_ppm_m47,Fe_ppm_m57,Re_ppm_m185,Pt_ppm_m195
0,386.862,45217.75,313324,106.5118,1.531089,0.8703598,13.46527,0.7991788,0.03323253
3.335,383.527,43756.66,327568.8,107.0123,1.538254,1.164617,22.53803,0.7385799,0.0705463
6.67,380.192,42923.36,300915.1,104.8699,1.557921,1.346329,18.74642,0.5391553,0.05488354
10.005,376.857,47145.59,290229.8,102.02,1.446184,1.211481,18.62237,0.482326,0.04996897
13.34,373.522,43276.03,325828.8,107.2581,1.682505,1.241224,14.15785,0.5610166,0.01784059
16.675,370.187,45407.92,306064.7,103.5737,1.480326,1.408417,20.27889,0.4461797,-0.0004323999
20.01,366.852,47111.1,323058.2,108.3795,1.471298,1.039249,16.8903,0.69295,0.0008799739
23.344,363.518,48177.47,299575.2,103.5853,1.315397,1.242895,19.05828,0.716508,0.009713161
26.68,360.182,43079.75,305253.3,108.972,1.475095,1.29521,20.8181,0.6085393,0.01934785
30.015,356.847,47348.91,293110.2,103.7342,1.369755,1.308221,19.68192,0.3118559,-0.004257366
33.35,353.512,46027.18,319915.6,105.2016,1.452739,1.227475,20.65375,0.3847908,0.01282275
36.685,350.177,47103.38,296538,102.5392,1.324957,1.069355,16.67566,0.520954,0.0008992546
40.02,346.842,46217.4,302064.8,105.5251,1.408921,1.267067,19.68423,0.4642926,0.002237709
43.355,343.507,46752.91,295945,104.1133,1.301254,1.01944,13.39615,0.5706265,0.01263299
46.69,340.172,46545.35,305831.8,100.9725,1.47965,0.7898478,16.32132,0.340169,0.007460972
50.025,336.837,50587.96,275809.8,96.79473,1.302711,1.306357,15.71044,0.5246742,0.005664644
53.36,333.502,45333.1,313726.3,105.8026,1.592377,1.006876,15.17405,0.2857464,0.002296905
56.695,330.167,45259.91,304016.5,107.2988,1.375014,0.9334089,17.01905,0.432601,0.00230451
60.03,326.832,46392.37,311096.1,105.093,1.493863,0.7345208,15.08453,0.468183,0.004875722
63.365,323.497,47751.93,298826.6,100.892,1.478729,0.9421901,12.95021,0.2474053,0.01111244
66.7,320.162,46597.91,312376.6,104.2332,1.539678,1.331389,18.16413,0.1587369,0.008779068
70.036,316.826,45247.07,311779.6,102.1859,1.365726,0.994766,15.49954,0.3083987,-0.004403164
73.371,313.491,45093.12,318740.1,105.7874,1.465224,1.240188,20.89093,0.4222122,0.007729681
76.706,310.156,46522.23,304388.1,106.4736,1.367664,1.085095,18.92996,0.1704711,0.003572431
80.041,306.821,47083.55,296015.8,100.2994,1.414373,0.8263034,17.67135,0.297745,0.012578
83.376,303.486,47634.99,296702.1,105.3779,1.372325,0.8455511,12.39571,0.2282688,-0.006720057
86.711,300.151,45533.13,322681.6,109.311,1.516149,1.094308,17.41537,0.1579791,-0.001682214
90.046,296.816,45566.96,315865.6,106.417,1.576265,1.123606,17.65301,0.1314243,-0.001676844
93.381,293.481,48285.29,294536.2,100.7695,1.418857,1.060541,16.93372,0.2071459,0.002200205
96.716,290.146,47158.63,321106.4,105.0139,1.397252,1.216105,11.71457,0.247546,0.01128366
100.051,286.811,44904.75,310332.7,111.2023,1.411026,1.216654,13.732,0.2465498,-0.0003347964
103.386,283.476,45605.18,297989.7,106.2513,1.460116,0.884446,17.32293,0.2442164,0.001007722
106.721,280.141,48879.53,322796.6,104.8316,1.440788,1.480473,10.32745,0.2730024,-0.007763742
110.056,276.806,48169.12,303527.8,101.572,1.509101,1.191339,13.09703,0.4228268,-0.00282509
113.391,273.471,46313.27,292589.8,104.457,1.469752,0.8274166,16.85469,0.2173364,-0.008184974
116.726,270.136,45616,300665.2,102.2258,1.421465,1.153877,14.92941,0.3694615,0.002355918
120.061,266.801,45653.58,324877.5,111.5406,1.366815,1.123286,16.68172,0.1779696,-0.001636667
123.396,263.466,46047.87,290227.4,104.6796,1.404323,1.232206,16.78681,0.288262,0.00234145
126.731,260.131,46236.64,298562.7,105.8653,1.423085,1.138981,13.69859,0.2248784,0.001021153
130.066,256.796,45400.19,326176,107.7595,1.240013,0.9801402,13.04024,0.2422648,0.001043922
133.401,253.461,44858.44,307833.8,105.3028,1.249161,1.11365,18.23917,0.1989672,-0.001648957
136.736,250.126,45119.52,316177.3,105.5466,1.510446,1.062127,9.554247,0.2289251,-0.0002884445
140.071,246.791,47082.35,304024.3,105.6571,1.510387,0.9023277,12.21984,0.2761735,-0.000272523
143.406,243.456,43918.79,317686.4,109.2413,1.436614,1.169119,17.6274,0.3417216,0.002478936
146.741,240.121,46929.84,297540.4,104.7021,1.472552,1.123325,11.73816,0.1901396,0.004912839
150.076,236.786,48480.62,292642.3,100.5455,1.349936,1.972479,14.11294,0.1868045,0.003506028
153.411,233.451,45305.85,303510.3,109.3371,1.577214,1.254172,16.63891,0.2234919,-0.0002670188
156.746,230.116,45981.35,303386,108.2934,1.510448,1.235942,12.92305,0.07771991,0.002382995
160.081,226.781,44738.5,313898.4,102.8651,1.39272,0.8291192,15.89627,0.1829692,0.003810776
163.416,223.446,47506.84,292907.3,102.7832,1.366555,1.067646,15.6698,0.1258641,0.004870782
166.751,220.111,47801.27,309735.1,104.1289,1.412803,1.18945,13.90874,0.1852078,-0.002778752
170.086,216.776,47720.98,289580.4,105.8724,1.448012,0.9348412,12.9133,0.09866983,0.01121873
173.421,213.441,46569.66,299039.2,103.2809,1.371581,0.8558236,15.82199,0.2073053,0.01801892
176.756,210.106,46770.14,307997.8,110.0673,1.356383,1.172582,11.95252,0.1563902,0.003663547
180.091,206.771,46329.99,315246.3,106.7579,1.404965,1.183917,15.29714,0.1463257,0.002391539
183.426,203.436,47812.38,294373.4,101.3183,1.463381,0.8626547,14.98551,0.1948929,-0.004027904
186.761,200.101,46833.39,308706.9,105.6447,1.451198,1.302386,17.17393,0.07909686,0.001077063
190.096,196.766,45634.36,291610.3,104.2974,1.529369,0.9937389,12.29394,0.2861722,-0.006872037
193.431,193.431,45068.43,324463.5,105.6286,1.394027,1.127245,11.32885,0.1548293,-0.005606988
196.766,190.096,46492.34,284354.9,102.5588,1.420609,0.9758034,10.75791,0.1788211,-0.002819982
200.101,186.761,46568.85,293630.2,101.9366,1.416392,1.032861,14.77525,0.106778,-0.009327593
203.436,183.426,45454.62,300037,107.3872,1.504704,1.073356,16.10891,0.07264017,0.001129426
206.771,180.091,45908.42,306938.6,108.6411,1.39123,0.8850595,14.17708,0.06027291,-0.004165213
210.106,176.756,44934.09,312773.6,106.126,1.462051,1.343664,14.94094,0.09576928,-0.0001999411
213.441,173.421,47184.86,297850.8,106.3708,1.35173,1.135538,16.51375,0.04871919,-0.0001865269
216.776,170.086,44883.6,324000.9,109.6007,1.506331,1.284926,18.912,0.08693103,0.01062204
220.111,166.751,46393.79,293839.3,104.9256,1.359757,0.9499566,14.46397,0.08841345,0.007664191
223.446,163.416,43815.12,330656,108.7764,1.483451,1.27008,17.90098,0.06769218,-0.009880118
226.781,160.081,45140.15,319803.9,108.0836,1.528551,1.263143,18.19249,0.06717809,0.002508844
230.116,156.746,47952.53,300134.2,103.2478,1.451581,1.104117,16.1876,0.03816018,0.05675652
233.451,153.411,42977.15,300603.3,110.5713,1.457699,1.105506,20.78232,0.03324755,0.02945707
236.786,150.076,45243.98,305657.2,105.8033,1.42502,1.245801,17.58074,0.05224218,0.01994062
240.121,146.741,43257.16,305169.9,109.2326,1.442214,1.004418,23.19412,0.02067011,0.01665354
243.456,143.406,43621.25,324492.8,109.7293,1.5159,1.261366,19.30046,0.03886352,-0.009895027
246.791,140.071,42987.84,314113.5,107.0103,1.501796,1.185216,20.95039,0.04098365,0.00689043
250.126,136.736,42921.59,308602.3,109.9599,1.38257,1.393285,23.83392,0.02392766,0.01255531
253.461,133.401,45015.09,320979.4,109.0366,1.401309,1.22291,21.0391,0.04505986,0.002546859
256.796,130.066,45902.88,329961,107.5894,1.398816,1.140184,23.65475,0.06018303,-0.0001399794
260.131,126.731,46741.62,314952.7,105.8427,1.436949,0.7124811,25.53704,0.04052709,0.001163346
263.466,123.396,47201.82,297821.2,107.7929,1.391603,0.7777871,27.10991,0.06841536,0.001155787
266.801,120.061,44664.64,306759.8,107.639,1.369459,1.507397,29.14958,0.0259578,0.008010618
270.136,116.726,44778.99,314043.6,108.7516,1.525111,1.458176,29.32985,0.028868,0.006640218
273.471,113.391,47084.54,291987.6,101.8217,1.420887,1.242525,31.18816,0.04304516,0.00374428
276.806,110.056,43091.93,318232.8,110.9648,1.514189,1.26317,34.80673,0.05787091,-0.002936263
280.141,106.721,45595.22,316548.6,111.152,1.387217,1.164189,35.69904,0.02247953,0.006532033
283.476,103.386,46679.27,308254.3,107.1424,1.397798,1.12278,37.29642,0.1148984,-0.006596561
286.811,100.051,46539.33,313380.8,107.9572,1.392656,0.8925853,35.42573,0.0334871,-0.0079139
290.146,96.716,44421.9,316568.2,113.5263,1.341699,1.516983,42.69437,0.07564455,0.001260251
293.481,93.381,43922.14,299525,108.823,1.441998,1.3332,46.21421,0.06890033,-0.008376065
296.817,90.045,45245.3,294469.1,105.8215,1.394059,1.174195,49.61749,0.03147822,-0.001432444
300.152,86.71,43468.12,323413.1,115.4761,1.347132,1.347534,56.88803,0.02508329,-0.001486722
303.487,83.375,45451.02,307731.1,112.0087,1.404927,1.154322,53.13599,0.03866607,0.01190808
306.822,80.04,43842.64,341398.4,108.6858,1.438632,0.7782229,57.50243,0.01724838,-0.009753799
310.157,76.705,47037.98,316573.4,106.9597,1.43321,1.202475,55.53983,0.02316489,0.002500355
313.492,73.37,43833.18,321649.1,110.891,1.526097,1.275089,60.10973,0.006586624,0.02064656
316.827,70.035,44971.92,315093.3,110.5271,1.493231,1.091855,66.24223,0.04795669,-0.002762725
320.162,66.7000000000001,48080.41,321248.4,107.2669,1.36777,0.7104424,67.19021,0.01571002,0.003716302
323.497,63.365,46060.58,325406.1,110.9216,1.465446,0.9336408,77.25501,0.006255178,0.09194948
326.832,60.03,48132.49,303332.9,115.2698,1.505158,1.373749,81.04359,0.03231628,0.02635905
330.167,56.6950000000001,46739.81,296432.2,107.6548,1.289976,1.225835,85.06419,0.0304193,0.00512896
333.502,53.36,44816.52,305855.8,109.3921,1.508014,1.157325,90.673,0.02427699,0.006703414
336.837,50.025,47088.57,311979.5,114.6465,1.378088,0.8418987,92.02483,0.04576596,0.002527244
340.172,46.69,46348.91,325379.5,105.7415,1.476848,1.427355,101.7054,0.03065999,0.001265512
343.507,43.355,46198.26,317666.8,111.0763,1.599991,0.7114449,103.5827,0.03797346,0.01175338
346.842,40.02,47303.75,292543.6,105.2813,1.454341,0.9535937,106.4396,0.03990046,0.006364638
350.177,36.685,49545.76,287374.5,102.5453,1.299194,1.102632,110.0758,0.03001295,0.001194631
353.512,33.35,46547.32,293278.2,108.1756,1.382874,1.261438,119.5211,0.04770127,-2.45E-05
356.847,30.015,45449.43,317163.4,108.8879,1.324656,1.292104,129.8619,0.02096866,0.01062864
360.182,26.68,44952.3,292254.1,107.7398,1.428061,1.457732,133.0075,0.04196408,0.001328575
363.517,23.345,46683.09,299764.9,108.5978,1.376963,1.040039,140.0869,0.05468668,0.001283127
366.852,20.01,48428.78,304913.2,104.7562,1.304038,1.3815,136.1354,0.03894074,-0.005004805
370.187,16.675,43423.22,302425.2,110.7541,1.510269,1.18112,171.5688,0.03574592,0.002780605
373.522,13.34,45301.18,317670.9,114.6432,1.438078,0.9524115,157.9207,0.05339193,0.009344815
376.857,10.005,47445.04,287193.5,110.2515,1.385878,1.238876,162.9859,0.02146333,0.005101651
