ElapsedTime_s,Distance,Si29_CPS,Mg_ppm_m25,Al_ppm_m27,Sc_ppm_m45,Ti_ppm_m47,Fe_ppm_m57,Re_ppm_m185,Pt_ppm_m195
40.02,300.152,46305.94,313093.8,20.65573,1.56469,1.117658,7.60875,-0.002814871,-0.002511057
43.355,296.817,45584.75,326663,19.81253,1.499152,1.180317,5.196873,0.004555532,-0.003896726
46.69,293.482,47145.11,291159,22.3384,1.526987,1.243183,4.858637,-0.005621259,0.0001909903
50.025,290.147,45629.76,296679.7,20.23413,1.516852,1.072764,1.251526,0.001599482,0.00428721
53.36,286.812,45588.71,329117.1,22.52068,1.566974,1.194247,4.52071,0.01197839,0.00566471
56.695,283.477,44275.84,298190,22.7817,1.607187,1.462639,2.047677,-0.002918937,0.008646982
60.03,280.142,45984.16,304264.2,19.52547,1.512346,1.288112,4.418526,0.008946454,-0.006488511
63.365,276.807,48287.65,305538.6,20.03214,1.506554,0.9125261,4.347522,0.00432732,0.007954389
66.7,273.472,44347.91,342241.4,20.71621,1.46107,1.365953,3.199868,0.05955051,-0.005300906
70.035,270.137,46544.23,290985.4,21.3253,1.574098,1.123577,7.621255,0.005949929,0.02159504
73.371,266.801,45485.79,311764.4,23.81473,1.620354,1.225067,1.211923,-0.001331945,0.008485468
76.706,263.466,45059.15,286960.6,21.75851,1.595869,1.38914,5.177234,0.003157457,-0.001047909
80.041,260.131,46674.63,301314,22.53112,1.582513,1.266932,4.244179,0.00739421,0.001657508
83.376,256.796,45984.69,300770.7,20.67715,1.540074,1.016025,5.683768,0.0001656892,0.003043775
86.711,253.461,45175,309710.1,22.57041,1.614871,1.171067,3.432708,0.006153976,-0.003745961
90.046,250.126,45769.03,314775,22.81159,1.451415,1.366141,3.017349,0.007554465,0.004439584
93.381,246.791,44786.27,306150,20.78276,1.588646,1.59562,7.02072,0.0001847901,0.01285176
96.716,243.456,44302.77,297496.2,21.7676,1.40846,1.441689,7.743944,0.004765157,0.0004195204
100.051,240.121,42678.84,295074.9,20.55249,1.599796,1.205758,6.231167,0.02077598,0.003353707
103.386,236.786,45261.2,303044.2,21.3192,1.504383,1.167028,3.486947,0.0001973621,0.0004388409
106.721,233.451,45177.95,298662.5,20.46978,1.42601,1.504092,7.517427,-0.001292284,0.007309851
110.056,230.116,43281.12,318516.3,21.35407,1.622245,1.617344,4.253227,0.004897528,0.003350903
113.391,226.781,44729.63,281553.5,19.7064,1.615359,1.287541,6.712044,-0.001295393,0.004641371
116.726,223.446,46115.29,273581.5,20.35237,1.493153,1.457499,5.272938,-0.002716084,0.01526091
120.061,220.111,43373.82,292284.6,20.8053,1.377622,1.295282,5.467567,0.006458853,0.001959492
123.396,216.776,43920.98,327829.2,23.28031,1.607939,1.106359,5.594626,-0.002841697,-0.0022809
126.731,213.441,45994.41,298326,20.57964,1.606987,0.9064622,3.784638,-0.002708779,-0.0008175711
130.066,210.106,47050.42,317724.3,20.2175,1.428615,1.178385,2.215247,-0.001208101,0.003163109
133.401,206.771,45276.81,323611.5,21.18502,1.517849,0.9809315,0.8001068,0.003223536,0.00330098
136.736,203.436,47143.41,293863.7,25.71694,1.311972,1.598787,3.271054,0.02028797,0.00318369
140.071,200.101,46593.38,285571.6,20.15252,1.495616,1.233203,3.728426,0.007489244,0.005892786
143.406,196.766,45747.8,291518.7,20.06548,1.634117,0.9697734,3.426776,0.001728602,0.007368878
146.741,193.431,46343.37,293358.5,20.40484,1.412905,1.164885,0.9314898,-0.008487443,0.01396775
150.076,190.096,46527.29,281237.8,19.76865,1.527801,1.189512,4.129689,-0.001193298,0.01525631
